### Naturaleza de nodos ############################
param escliente := 0 0 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1;
param esdepo := 0 1 1 0 2 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0 10 0 11 0 12 0 13 0 14 0 15 0 16 0 17 0 18 0 19 0 20 0;
param escritico := 0 0 1 1 2 1 3 0 4 1 5 0 6 1 7 0 8 1 9 0 10 1 11 1 12 1 13 1 14 1 15 0 16 1 17 0 18 1 19 1 20 0;

############################
### Tipo de contrato
############################
param esHora := 1 0 2 1 3 0 4 0 5 1 6 0 7 0;
param esF6 := 1 1 2 0 3 0 4 0 5 0 6 1 7 0;
param esF12 := 1 0 2 0 3 1 4 1 5 0 6 0 7 1;

############################
### Capacidades y Costos
############################
param Cap := 1 96 2 110 3 133 4 82 5 129 6 99 7 101;
param CH := 1 146 2 141 3 106 4 157 5 147 6 152 7 120;
param CF6 := 1 253 2 351 3 446 4 415 5 381 6 361 7 425;
param CF12 := 1 487 2 513 3 553 4 520 5 502 6 577 7 563;

############################
### Penalizaciones
############################
param pcmin_c := 10;
param pcmax_c := 15;
param pcmin_nc := 5;
param pcmax_nc := 8;
param preg := 20;
param pant := 0;

############################
### Demandas
############################
param DemE := 0 0 1 20 2 21 3 18 4 16 5 21 6 6 7 25 8 10 9 7 10 20 11 13 12 10 13 15 14 15 15 22 16 17 17 7 18 19 19 17 20 23;
param DemR := 0 0 1 6 2 2 3 0 4 1 5 4 6 0 7 6 8 5 9 2 10 0 11 2 12 1 13 3 14 4 15 4 16 5 17 6 18 0 19 5 20 2;

############################
### Tiempo de servicio
############################
param TS := 0 0 1 0.35 2 0.34 3 0.26 4 0.16 5 0.22 6 0.14 7 0.35 8 0.21 9 0.29 10 0.11 11 0.13 12 0.15 13 0.16 14 0.19 15 0.17 16 0.21 17 0.21 18 0.13 19 0.12 20 0.19;

############################
### Ventanas de tiempo
############################
param MinDC := 0 0 1 6 2 9 3 12 4 9 5 10 6 11 7 6 8 8 9 6 10 10 11 9 12 6 13 11 14 9 15 11 16 11 17 8 18 7 19 6 20 11;
param MaxDC := 0 24 1 8 2 11 3 18 4 11 5 17 6 16 7 10 8 13 9 14 10 14 11 13 12 13 13 14 14 11 15 19 16 14 17 15 18 14 19 14 20 13;

############################
### Distancias (km)
############################
param Dist : 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 :=
 0 0 35 5 4 11 34 9 3 37 17 4 25 30 15 25 8 17 11 9 36 12
 1 35 0 39 38 31 38 28 32 27 24 31 9 30 21 40 40 43 46 44 24 38
 2 5 39 0 5 12 33 12 8 38 22 9 30 31 18 23 4 14 8 6 38 14
 3 4 38 5 0 15 37 13 6 41 18 7 29 34 19 28 9 19 8 6 40 9
 4 11 31 12 15 0 22 5 12 26 22 10 22 19 11 15 11 12 20 18 26 23
 5 34 38 33 37 22 0 27 34 15 42 33 34 8 28 12 30 23 41 39 17 45
 6 9 28 12 13 5 27 0 8 28 16 6 19 22 7 20 12 17 19 17 28 19
 7 3 32 8 6 12 34 8 0 36 13 2 22 30 12 26 12 20 14 12 35 11
 8 37 27 38 41 26 15 28 36 0 38 35 26 9 25 24 37 33 47 44 3 47
 9 17 24 22 18 22 42 16 13 38 0 14 16 35 14 37 25 32 26 24 36 15
 10 4 31 9 7 10 33 6 2 35 14 0 21 28 11 25 11 19 15 13 33 13
 11 25 9 30 29 22 34 19 22 26 16 21 0 26 12 34 31 35 37 34 24 30
 12 30 30 31 34 19 8 22 30 9 35 28 26 0 21 14 29 24 39 37 11 41
 13 15 21 18 19 11 28 7 12 25 14 11 12 21 0 24 20 23 26 24 24 22
 14 25 40 23 28 15 12 20 26 24 37 25 34 14 24 0 20 11 30 28 25 37
 15 8 40 4 9 11 30 12 12 37 25 11 31 29 20 20 0 10 10 8 37 18
 16 17 43 14 19 12 23 17 20 33 32 19 35 24 23 11 10 0 19 18 33 28
 17 11 46 8 8 20 41 19 14 47 26 15 37 39 26 30 10 19 0 2 46 13
 18 9 44 6 6 18 39 17 12 44 24 13 34 37 24 28 8 18 2 0 44 13
 19 36 24 38 40 26 17 28 35 3 36 33 24 11 24 25 37 33 46 44 0 46
 20 12 38 14 9 23 45 19 11 47 15 13 30 41 22 37 18 28 13 13 46 0
 ;

############################
### Velocidades por franja
############################
param v := 1 25 2 40 3 50 4 40 5 30 6 25 7 35 8 45 9 30 10 20;
param tinic := 1 0 2 2 3 5 4 7 5 10 6 12 7 14 8 17 9 19 10 22;
param tfin := 1 2 2 5 3 7 4 10 5 12 6 14 7 17 8 19 9 22 10 24;

############################
### Tiempo de viaje tvia
############################
param tvia :=
 [*,*,1]: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 :=
