### Naturaleza de nodos ############################
param escliente := 0 0 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1;
param esdepo := 0 1 1 0 2 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0 10 0 11 0 12 0 13 0 14 0;
param escritico := 0 0 1 1 2 1 3 1 4 1 5 1 6 0 7 0 8 0 9 0 10 1 11 1 12 0 13 0 14 0;

############################
### Tipo de contrato
############################
param esHora := 1 1 2 0 3 1 4 0;
param esF6 := 1 0 2 0 3 0 4 1;
param esF12 := 1 0 2 1 3 0 4 0;

############################
### Capacidades y Costos
############################
param Cap := 1 80 2 133 3 121 4 116;
param CH := 1 123 2 116 3 154 4 114;
param CF6 := 1 277 2 411 3 420 4 303;
param CF12 := 1 429 2 478 3 382 4 558;

############################
### Penalizaciones
############################
param pcmin_c := 10;
param pcmax_c := 15;
param pcmin_nc := 5;
param pcmax_nc := 8;
param preg := 20;
param pant := 0;

############################
### Demandas
############################
param DemE := 0 0 1 18 2 23 3 6 4 16 5 24 6 9 7 23 8 21 9 7 10 22 11 22 12 13 13 20 14 8;
param DemR := 0 0 1 4 2 3 3 1 4 0 5 3 6 2 7 1 8 5 9 4 10 3 11 0 12 3 13 1 14 6;

############################
### Tiempo de servicio
############################
param TS := 0 0 1 0.34 2 0.29 3 0.23 4 0.32 5 0.33 6 0.18 7 0.35 8 0.35 9 0.13 10 0.31 11 0.11 12 0.34 13 0.25 14 0.17;

############################
### Ventanas de tiempo
############################
param MinDC := 0 0 1 8 2 6 3 11 4 12 5 9 6 6 7 11 8 12 9 9 10 9 11 10 12 11 13 10 14 11;
param MaxDC := 0 24 1 16 2 9 3 13 4 19 5 14 6 13 7 16 8 17 9 14 10 13 11 17 12 18 13 14 14 17;

############################
### Distancias (km)
############################
param Dist : 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 :=
 0 0 43 44 26 32 22 42 42 24 8 29 16 20 30 17
 1 43 0 22 19 21 20 6 21 24 41 47 44 25 38 27
 2 44 22 0 30 11 26 27 2 20 38 34 37 25 24 34
 3 26 19 30 0 22 7 17 28 17 26 39 32 14 33 9
 4 32 21 11 22 0 16 25 9 9 27 26 27 13 17 24
 5 22 20 26 7 16 0 20 24 11 21 33 26 8 27 8
 6 42 6 27 17 25 20 0 26 26 41 50 45 26 41 26
 7 42 21 2 28 9 24 26 0 18 36 33 36 22 23 32
 8 24 24 20 17 9 11 26 18 0 19 24 20 5 16 17
 9 8 41 38 26 27 21 41 36 19 0 21 9 16 22 18
 10 29 47 34 39 26 33 50 33 24 21 0 13 25 10 35
 11 16 44 37 32 27 26 45 36 20 9 13 0 19 17 25
 12 20 25 25 14 13 8 26 22 5 16 25 19 0 19 12
 13 30 38 24 33 17 27 41 23 16 22 10 17 19 0 31
 14 17 27 34 9 24 8 26 32 17 18 35 25 12 31 0
 ;

############################
### Velocidades por franja
############################
param v := 1 50 2 40 3 10 4 40 5 30 6 25;
param tinic := 1 0 2 4 3 8 4 12 5 16 6 20;
param tfin := 1 4 2 8 3 12 4 16 5 20 6 24;

############################
### Tiempo de viaje tvia
############################
param tvia :=
 [*,*,1]: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 :=
 0 0 0.86 0.88 0.52 0.64 0.44 0.84 0.84 0.48 0.16 0.58 0.32 0.4 0.6 0.34
 1 0.86 0 0.44 0.38 0.42 0.4 0.12 0.42 0.48 0.82 0.94 0.88 0.5 0.76 0.54
 2 0.88 0.44 0 0.6 0.22 0.52 0.54 0.04 0.4 0.76 0.68 0.74 0.5 0.48 0.68
 3 0.52 0.38 0.6 0 0.44 0.14 0.34 0.56 0.34 0.52 0.78 0.64 0.28 0.66 0.18
 4 0.64 0.42 0.22 0.44 0 0.32 0.5 0.18 0.18 0.54 0.52 0.54 0.26 0.34 0.48
 5 0.44 0.4 0.52 0.14 0.32 0 0.4 0.48 0.22 0.42 0.66 0.52 0.16 0.54 0.16
 6 0.84 0.12 0.54 0.34 0.5 0.4 0 0.52 0.52 0.82 1 0.9 0.52 0.82 0.52
 7 0.84 0.42 0.04 0.56 0.18 0.48 0.52 0 0.36 0.72 0.66 0.72 0.44 0.46 0.64
 8 0.48 0.48 0.4 0.34 0.18 0.22 0.52 0.36 0 0.38 0.48 0.4 0.1 0.32 0.34
 9 0.16 0.82 0.76 0.52 0.54 0.42 0.82 0.72 0.38 0 0.42 0.18 0.32 0.44 0.36
 10 0.58 0.94 0.68 0.78 0.52 0.66 1 0.66 0.48 0.42 0 0.26 0.5 0.2 0.7
 11 0.32 0.88 0.74 0.64 0.54 0.52 0.9 0.72 0.4 0.18 0.26 0 0.38 0.34 0.5
 12 0.4 0.5 0.5 0.28 0.26 0.16 0.52 0.44 0.1 0.32 0.5 0.38 0 0.38 0.24
 13 0.6 0.76 0.48 0.66 0.34 0.54 0.82 0.46 0.32 0.44 0.2 0.34 0.38 0 0.62
 14 0.34 0.54 0.68 0.18 0.48 0.16 0.52 0.64 0.34 0.36 0.7 0.5 0.24 0.62 0
 [*,*,2]: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 :=
 0 0 1.075 1.1 0.65 0.8 0.55 1.05 1.05 0.6 0.2 0.725 0.4 0.5 0.75 0.425
 1 1.075 0 0.55 0.475 0.525 0.5 0.15 0.525 0.6 1.025 1.175 1.1 0.625 0.95 0.675
 2 1.1 0.55 0 0.75 0.275 0.65 0.675 0.05 0.5 0.95 0.85 0.925 0.625 0.6 0.85
 3 0.65 0.475 0.75 0 0.55 0.175 0.425 0.7 0.425 0.65 0.975 0.8 0.35 0.825 0.225
 4 0.8 0.525 0.275 0.55 0 0.4 0.625 0.225 0.225 0.675 0.65 0.675 0.325 0.425 0.6
 5 0.55 0.5 0.65 0.175 0.4 0 0.5 0.6 0.275 0.525 0.825 0.65 0.2 0.675 0.2
 6 1.05 0.15 0.675 0.425 0.625 0.5 0 0.65 0.65 1.025 1.25 1.125 0.65 1.025 0.65
 7 1.05 0.525 0.05 0.7 0.225 0.6 0.65 0 0.45 0.9 0.825 0.9 0.55 0.575 0.8
 8 0.6 0.6 0.5 0.425 0.225 0.275 0.65 0.45 0 0.475 0.6 0.5 0.125 0.4 0.425
 9 0.2 1.025 0.95 0.65 0.675 0.525 1.025 0.9 0.475 0 0.525 0.225 0.4 0.55 0.45
 10 0.725 1.175 0.85 0.975 0.65 0.825 1.25 0.825 0.6 0.525 0 0.325 0.625 0.25 0.875
 11 0.4 1.1 0.925 0.8 0.675 0.65 1.125 0.9 0.5 0.225 0.325 0 0.475 0.425 0.625
 12 0.5 0.625 0.625 0.35 0.325 0.2 0.65 0.55 0.125 0.4 0.625 0.475 0 0.475 0.3
 13 0.75 0.95 0.6 0.825 0.425 0.675 1.025 0.575 0.4 0.55 0.25 0.425 0.475 0 0.775
 14 0.425 0.675 0.85 0.225 0.6 0.2 0.65 0.8 0.425 0.45 0.875 0.625 0.3 0.775 0
 [*,*,3]: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 :=
 0 0 4.3 4.4 2.6 3.2 2.2 4.2 4.2 2.4 0.8 2.9 1.6 2 3 1.7
 1 4.3 0 2.2 1.9 2.1 2 0.6 2.1 2.4 4.1 4.7 4.4 2.5 3.8 2.7
 2 4.4 2.2 0 3 1.1 2.6 2.7 0.2 2 3.8 3.4 3.7 2.5 2.4 3.4
 3 2.6 1.9 3 0 2.2 0.7 1.7 2.8 1.7 2.6 3.9 3.2 1.4 3.3 0.9
 4 3.2 2.1 1.1 2.2 0 1.6 2.5 0.9 0.9 2.7 2.6 2.7 1.3 1.7 2.4
 5 2.2 2 2.6 0.7 1.6 0 2 2.4 1.1 2.1 3.3 2.6 0.8 2.7 0.8
 6 4.2 0.6 2.7 1.7 2.5 2 0 2.6 2.6 4.1 5 4.5 2.6 4.1 2.6
 7 4.2 2.1 0.2 2.8 0.9 2.4 2.6 0 1.8 3.6 3.3 3.6 2.2 2.3 3.2
 8 2.4 2.4 2 1.7 0.9 1.1 2.6 1.8 0 1.9 2.4 2 0.5 1.6 1.7
 9 0.8 4.1 3.8 2.6 2.7 2.1 4.1 3.6 1.9 0 2.1 0.9 1.6 2.2 1.8
 10 2.9 4.7 3.4 3.9 2.6 3.3 5 3.3 2.4 2.1 0 1.3 2.5 1 3.5
 11 1.6 4.4 3.7 3.2 2.7 2.6 4.5 3.6 2 0.9 1.3 0 1.9 1.7 2.5
 12 2 2.5 2.5 1.4 1.3 0.8 2.6 2.2 0.5 1.6 2.5 1.9 0 1.9 1.2
 13 3 3.8 2.4 3.3 1.7 2.7 4.1 2.3 1.6 2.2 1 1.7 1.9 0 3.1
 14 1.7 2.7 3.4 0.9 2.4 0.8 2.6 3.2 1.7 1.8 3.5 2.5 1.2 3.1 0
 [*,*,4]: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 :=
 0 0 1.075 1.1 0.65 0.8 0.55 1.05 1.05 0.6 0.2 0.725 0.4 0.5 0.75 0.425
 1 1.075 0 0.55 0.475 0.525 0.5 0.15 0.525 0.6 1.025 1.175 1.1 0.625 0.95 0.675
 2 1.1 0.55 0 0.75 0.275 0.65 0.675 0.05 0.5 0.95 0.85 0.925 0.625 0.6 0.85
 3 0.65 0.475 0.75 0 0.55 0.175 0.425 0.7 0.425 0.65 0.975 0.8 0.35 0.825 0.225
 4 0.8 0.525 0.275 0.55 0 0.4 0.625 0.225 0.225 0.675 0.65 0.675 0.325 0.425 0.6
 5 0.55 0.5 0.65 0.175 0.4 0 0.5 0.6 0.275 0.525 0.825 0.65 0.2 0.675 0.2
 6 1.05 0.15 0.675 0.425 0.625 0.5 0 0.65 0.65 1.025 1.25 1.125 0.65 1.025 0.65
 7 1.05 0.525 0.05 0.7 0.225 0.6 0.65 0 0.45 0.9 0.825 0.9 0.55 0.575 0.8
 8 0.6 0.6 0.5 0.425 0.225 0.275 0.65 0.45 0 0.475 0.6 0.5 0.125 0.4 0.425
 9 0.2 1.025 0.95 0.65 0.675 0.525 1.025 0.9 0.475 0 0.525 0.225 0.4 0.55 0.45
 10 0.725 1.175 0.85 0.975 0.65 0.825 1.25 0.825 0.6 0.525 0 0.325 0.625 0.25 0.875
 11 0.4 1.1 0.925 0.8 0.675 0.65 1.125 0.9 0.5 0.225 0.325 0 0.475 0.425 0.625
 12 0.5 0.625 0.625 0.35 0.325 0.2 0.65 0.55 0.125 0.4 0.625 0.475 0 0.475 0.3
 13 0.75 0.95 0.6 0.825 0.425 0.675 1.025 0.575 0.4 0.55 0.25 0.425 0.475 0 0.775
 14 0.425 0.675 0.85 0.225 0.6 0.2 0.65 0.8 0.425 0.45 0.875 0.625 0.3 0.775 0
 [*,*,5]: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 :=
