### Naturaleza de nodos ############################
param escliente := 0 0 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1;
param esdepo := 0 1 1 0 2 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0 10 0 11 0 12 0;
param escritico := 0 0 1 1 2 1 3 1 4 1 5 1 6 0 7 0 8 0 9 0 10 1 11 1 12 0;

############################
### Tipo de contrato
############################
param esHora := 1 0 2 1 3 0;
param esF6 := 1 1 2 0 3 1;
param esF12 := 1 0 2 0 3 0;

############################
### Capacidades y Costos
############################
param Cap := 1 86 2 134 3 127;
param CH := 1 80 2 153 3 123;
param CF6 := 1 323 2 399 3 318;
param CF12 := 1 377 2 511 3 520;

############################
### Penalizaciones
############################
param pcmin_c := 10;
param pcmax_c := 15;
param pcmin_nc := 5;
param pcmax_nc := 8;
param preg := 20;
param pant := 0;

############################
### Demandas
############################
param DemE := 0 0 1 11 2 14 3 21 4 9 5 18 6 23 7 6 8 16 9 24 10 9 11 23 12 21;
param DemR := 0 0 1 0 2 4 3 4 4 5 5 2 6 6 7 6 8 5 9 3 10 0 11 4 12 3;

############################
### Tiempo de servicio
############################
param TS := 0 0 1 0.14 2 0.21 3 0.15 4 0.24 5 0.12 6 0.14 7 0.34 8 0.29 9 0.23 10 0.32 11 0.33 12 0.18;

############################
### Ventanas de tiempo
############################
param MinDC := 0 0 1 6 2 6 3 12 4 6 5 9 6 8 7 8 8 6 9 11 10 12 11 9 12 6;
param MaxDC := 0 24 1 9 2 12 3 18 4 8 5 15 6 15 7 16 8 9 9 13 10 19 11 14 12 13;

############################
### Distancias (km)
############################
param Dist : 0 1 2 3 4 5 6 7 8 9 10 11 12 :=
 0 0 22 10 9 38 8 15 18 13 16 12 14 17
 1 22 0 13 13 22 29 23 21 12 14 31 21 5
 2 10 13 0 3 29 16 17 14 8 9 19 15 8
 3 9 13 3 0 31 17 14 16 6 12 20 12 9
 4 38 22 29 31 0 43 44 26 32 22 42 42 24
 5 8 29 16 17 43 0 22 19 21 20 6 21 24
 6 15 23 17 14 44 22 0 30 11 26 27 2 20
 7 18 21 14 16 26 19 30 0 22 7 17 28 17
 8 13 12 8 6 32 21 11 22 0 16 25 9 9
 9 16 14 9 12 22 20 26 7 16 0 20 24 11
 10 12 31 19 20 42 6 27 17 25 20 0 26 26
 11 14 21 15 12 42 21 2 28 9 24 26 0 18
 12 17 5 8 9 24 24 20 17 9 11 26 18 0
 ;

############################
### Velocidades por franja
############################
param v := 1 50 2 40 3 10 4 40 5 30 6 25;
param tinic := 1 0 2 4 3 8 4 12 5 16 6 20;
param tfin := 1 4 2 8 3 12 4 16 5 20 6 24;

############################
### Tiempo de viaje tvia
############################
param tvia :=
 [*,*,1]: 0 1 2 3 4 5 6 7 8 9 10 11 12 :=
 0 0 0.44 0.2 0.18 0.76 0.16 0.3 0.36 0.26 0.32 0.24 0.28 0.34
 1 0.44 0 0.26 0.26 0.44 0.58 0.46 0.42 0.24 0.28 0.62 0.42 0.1
 2 0.2 0.26 0 0.06 0.58 0.32 0.34 0.28 0.16 0.18 0.38 0.3 0.16
 3 0.18 0.26 0.06 0 0.62 0.34 0.28 0.32 0.12 0.24 0.4 0.24 0.18
 4 0.76 0.44 0.58 0.62 0 0.86 0.88 0.52 0.64 0.44 0.84 0.84 0.48
 5 0.16 0.58 0.32 0.34 0.86 0 0.44 0.38 0.42 0.4 0.12 0.42 0.48
 6 0.3 0.46 0.34 0.28 0.88 0.44 0 0.6 0.22 0.52 0.54 0.04 0.4
 7 0.36 0.42 0.28 0.32 0.52 0.38 0.6 0 0.44 0.14 0.34 0.56 0.34
 8 0.26 0.24 0.16 0.12 0.64 0.42 0.22 0.44 0 0.32 0.5 0.18 0.18
 9 0.32 0.28 0.18 0.24 0.44 0.4 0.52 0.14 0.32 0 0.4 0.48 0.22
 10 0.24 0.62 0.38 0.4 0.84 0.12 0.54 0.34 0.5 0.4 0 0.52 0.52
 11 0.28 0.42 0.3 0.24 0.84 0.42 0.04 0.56 0.18 0.48 0.52 0 0.36
 12 0.34 0.1 0.16 0.18 0.48 0.48 0.4 0.34 0.18 0.22 0.52 0.36 0
 [*,*,2]: 0 1 2 3 4 5 6 7 8 9 10 11 12 :=
 0 0 0.55 0.25 0.225 0.95 0.2 0.375 0.45 0.325 0.4 0.3 0.35 0.425
 1 0.55 0 0.325 0.325 0.55 0.725 0.575 0.525 0.3 0.35 0.775 0.525 0.125
 2 0.25 0.325 0 0.075 0.725 0.4 0.425 0.35 0.2 0.225 0.475 0.375 0.2
 3 0.225 0.325 0.075 0 0.775 0.425 0.35 0.4 0.15 0.3 0.5 0.3 0.225
 4 0.95 0.55 0.725 0.775 0 1.075 1.1 0.65 0.8 0.55 1.05 1.05 0.6
 5 0.2 0.725 0.4 0.425 1.075 0 0.55 0.475 0.525 0.5 0.15 0.525 0.6
 6 0.375 0.575 0.425 0.35 1.1 0.55 0 0.75 0.275 0.65 0.675 0.05 0.5
