#Conjuntos
#set R := 1..3; #camiones
#set C := 0..10; #clientes 
#set H:= 1..108;  #intervalos de tiempo del día
#set F:= 1..4; #franjas horarias
 
set R := 1..3;
set C := 0 ..10;  
set F := 1..6;
set H := 1..20;

# Variables:
# (omitted - only parameters/data necessary for AMPL dat)

#Parámetros
param depo:=0;
param escliente := 0 0 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1;
param esdepo := 0 1 1 0 2 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0 10 0;
param escritico := 0 0 1 0 2 1 3 1 4 1 5 0 6 0 7 0 8 1 9 0 10 1;

param esHora := 1 1 2 1 3 1;
param esF6 := 1 0 2 0 3 0;
param esF12 := 1 0 2 0 3 0;

param Cap := 1 92 2 125 3 121;
param CH := 1 149 2 133 3 108;
param CF6 := 1 364 2 400 3 321;
param CF12 := 1 557 2 572 3 351;

param pcmin_c := 10;
param pcmax_c := 15;
param pcmin_nc := 5;
param pcmax_nc := 8;
param preg := 20;
param pant := 0;

param DemE := 0 0 1 10 2 18 3 15 4 13 5 9 6 11 7 15 8 8 9 7 10 17;
param DemR := 0 0 1 0 2 2 3 6 4 2 5 4 6 2 7 6 8 0 9 5 10 3;

param TS := 0 0 1 0.23 2 0.34 3 0.19 4 0.24 5 0.31 6 0.25 7 0.32 8 0.24 9 0.28 10 0.11;

param MinDC := 0 0 1 7 2 8 3 12 4 12 5 9 6 9 7 12 8 7 9 8 10 11;
param MaxDC := 0 24 1 15 2 10 3 15 4 14 5 13 6 16 7 16 8 11 9 11 10 15;

param Dist : 0 1 2 3 4 5 6 7 8 9 10 :=
 0 0 32 23 24 11 30 32 9 34 12 24
 1 32 0 30 27 43 17 45 38 33 42 39
 2 23 30 0 4 30 16 15 31 11 25 9
 3 24 27 4 0 31 12 19 32 11 27 13
 4 11 43 30 31 0 40 33 8 41 6 26
 5 30 17 16 12 40 0 31 39 16 37 26
 6 32 45 15 19 33 31 0 38 18 27 8
 7 9 38 31 32 8 39 38 0 43 13 30
 8 34 33 11 11 41 16 18 43 0 36 17
 9 12 42 25 27 6 37 27 13 36 0 20
 10 24 39 9 13 26 26 8 30 17 20 0
 ;

param v := 1 25 2 40 3 50 4 40 5 30 6 20;
param tinic := 1 0 2 4 3 8 4 12 5 16 6 20;
param tfin := 1 4 2 8 3 12 4 16 5 20 6 24;

param tvia :=
 [*,*,1]: 0 1 2 3 4 5 6 7 8 9 10 :=
 0 0 1.28 0.92 0.96 0.44 1.2 1.28 0.36 1.36 0.48 0.96
 1 1.28 0 1.2 1.08 1.72 0.68 1.8 1.52 1.32 1.68 1.56
 2 0.92 1.2 0 0.16 1.2 0.64 0.6 1.24 0.44 1 0.36
 3 0.96 1.08 0.16 0 1.24 0.48 0.76 1.28 0.44 1.08 0.52
 4 0.44 1.72 1.2 1.24 0 1.6 1.32 0.32 1.64 0.24 1.04
 5 1.2 0.68 0.64 0.48 1.6 0 1.24 1.56 0.64 1.48 1.04
 6 1.28 1.8 0.6 0.76 1.32 1.24 0 1.52 0.72 1.08 0.32
 7 0.36 1.52 1.24 1.28 0.32 1.56 1.52 0 1.72 0.52 1.2
 8 1.36 1.32 0.44 0.44 1.64 0.64 0.72 1.72 0 1.44 0.68
 9 0.48 1.68 1 1.08 0.24 1.48 1.08 0.52 1.44 0 0.8
 10 0.96 1.56 0.36 0.52 1.04 1.04 0.32 1.2 0.68 0.8 0
